Depth 	 PHIT 	 BVO 	 Pd1 	 Pd2 	 	 G1 	 G2 	 BV1 	 BV2 	 Perm
8456.5 	 0.14 	 0.08 	 140.0 	 650 	 	 0.29 	 0.1 	 16.2 	 0 	 0.63
8457.0 	 0.15 	 0.09 	 194.0 	 650 	 	 0.21 	 0.1 	 16.6 	 0 	 0.4
8457.5 	 0.16 	 0.1 	 18.0 	 650 	 	 0.7 	 0.1 	 18.8 	 0 	 3.32
8458.0 	 0.17 	 0.13 	 163.0 	 650 	 	 0.14 	 0.1 	 19.0 	 0 	 0.83
8458.5 	 0.17 	 0.12 	 125.0 	 650 	 	 0.23 	 0.1 	 19.9 	 0 	 1.39
8459.0 	 0.17 	 0.12 	 72.0 	 650 	 	 0.32 	 0.1 	 20.3 	 0 	 4.99
8459.5 	 0.17 	 0.11 	 23.0 	 650 	 	 0.64 	 0.1 	 23.1 	 0 	 16.83
8460.0 	 0.17 	 0.11 	 23.0 	 650 	 	 0.66 	 0.1 	 23.1 	 0 	 14.3
8460.5 	 0.17 	 0.14 	 9.0 	 650 	 	 0.37 	 0.1 	 18.3 	 0 	 130.81
8461.0 	 0.16 	 0.13 	 13.0 	 650 	 	 0.32 	 0.1 	 17.7 	 0 	 73.76
8461.5 	 0.15 	 0.1 	 20.0 	 650 	 	 0.54 	 0.1 	 16.2 	 0 	 17.32
8462.0 	 0.14 	 0.1 	 19.0 	 650 	 	 0.48 	 0.1 	 15.8 	 0 	 6.89
8462.5 	 0.13 	 0.01 	 320.0 	 650 	 	 0.45 	 0.1 	 14.5 	 0 	 0.04
8463.0 	 0.1 	 0.0 	 344.0 	 650 	 	 0.5 	 0.1 	 13.8 	 0 	 0.12
8463.5 	 0.1 	 0.0 	 491.0 	 650 	 	 0.4 	 0.1 	 11.2 	 0 	 0.19
